N	Stage	Well	1-Pentene	2-Methyl-1-butene	Pentane	Pentane, 2-methyl-	Pentane, 3-methyl-	1-Hexene	n-Hexane	Cyclopentane, methyl-	Pentane, 2,4-dimethyl-	Benzene	Cyclohexane	Hexane, 2-methyl-	Hexane, 3-methyl-	Cyclopentane, 1,3-dimethyl-, cis-	Cyclopentane, 1,3-dimethyl-, trans-	Cyclopentane, 1,2-dimethyl-, trans-	1-Heptene	Heptane	Cyclohexane, methyl-	Hexane, 2,5-dimethyl-	Toluene	Heptane, 3-methyl-	Cyclohexane, 1,4-dimethyl-, trans-	1-Octene	Cyclohexane, 1,2-dimethyl-, trans-	Octane	Ethylbenzene	Benzene, 1,3-dimethyl-	p-Xylene	o-Xylene	1-Nonene	Nonane	Benzene, propyl-	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-4-methyl-	Mesitylene	Benzene, 1-ethyl-2-methyl-	Benzene, 1,2,4-trimethyl-	1-Decene	Decane	Benzene, n-butyl-	Undecane	Benzene, 1,2,4,5-tetramethyl-	Dodecane	Tridecane	Tetradecane	Pentadecane	Hexadecane	Heptadecane	Pentadecane, 2,6,10,14-tetramethyl-	Octadecane	Hexadecane, 2,6,10,14-tetramethyl-
305	1	1_IRG	1.14439	0.41799	3.62561	0.14722	0.12235	0.17032	0.59553	0.07772	0.02524	6.99812	0.04465	0.03803	0.0353	0.00001	0.00001	0.01185	0.34179	0.08324	0.02253	0.00001	0.41161	0.00001	0.00001	0.09124	0.00001	0.11038	0.05097	0.12348	0.04219	0.59459	0.05518	0.57994	0.09162	0.07149	0.02881	0.06235	0.02817	0.17048	0.01926	0.71269	0.02591	16.80996	0.02376	0.49857	0.31866	0.68138	0.28075	3.61245	0.15142	0.14501	0.35421	0.18729
307	1	1_IRG	1.19145	0.32019	3.01192	0.08768	0.08694	0.08347	0.25766	0.06364	0.0103	5.48045	0.03541	0.02315	0.0172	0.00001	0.00001	0.01175	0.15008	0.00001	0.01764	0.00936	0.18217	0.00001	0.00001	0.04113	0.00001	0.06275	0.02177	0.04869	0.01731	0.16397	0.01882	0.04713	0.01695	0.02067	0.00886	0.01537	0.009	0.06363	0.00001	0.12288	0.00826	0.58157	0.01049	0.30598	0.24326	0.3072	0.29848	0.77273	0.07295	0.12226	0.15769	0.08091
309	1	1_IRG	1.75789	0.5692	6.09804	0.27038	0.19443	0.19636	4.81742	0.08808	0.03199	8.71271	0.06481	0.06407	0.04258	0.00001	0.00608	0.01245	0.30896	0.16084	0.02392	0.02049	1.04997	0.02099	0.00001	0.11255	0.00001	0.19627	0.10937	0.28895	0.09659	1.22097	0.05671	0.33574	0.05284	0.10667	0.0388	0.0625	0.05401	0.23358	0.02332	0.68474	0.04858	1.40911	0.02676	0.37675	0.30123	0.38224	0.36728	1.28087	0.19745	0.15827	0.19138	0.14592
311	1	1_IRG	1.33527	0.38051	4.05918	0.16417	0.12823	0.18966	1.17131	0.0778	0.01963	5.44584	0.05565	0.03007	0.02377	0.00001	0.00001	0.0102	0.30553	0.14969	0.01803	0.00001	0.5901	0.01814	0.00001	0.06548	0.00001	0.13516	0.07964	0.20713	0.07151	0.87743	0.04781	0.27653	0.02825	0.09124	0.04175	0.05203	0.03786	0.2074	0.02807	0.54607	0.03443	1.23047	0.02226	0.37203	0.26871	0.40706	0.29403	1.59077	0.13326	0.15257	0.14768	0.13513
313	1	1_IRG	1.11061	0.30472	2.5948	0.10739	0.09627	0.13471	1.02949	0.0597	0.0186	7.29179	0.03042	0.04498	0.03832	0.00001	0.00001	0.00789	0.2844	0.0605	0.01922	0.00001	0.31077	0.00833	0.00001	0.09113	0.00001	0.07194	0.03882	0.15653	0.02794	0.40347	0.04661	0.07829	0.01934	0.04253	0.01711	0.05028	0.01863	0.10236	0.01987	0.1684	0.01209	0.70374	0.01293	0.27459	0.25592	0.34398	0.20478	0.81332	0.04308	0.0793	0.05133	0.03776
317	1	1_IRG	1.76128	0.32664	8.91921	0.23145	0.1334	0.16675	9.27058	0.07264	0.02232	3.97994	0.03185	0.08326	0.07883	0.00001	0.00001	0.00001	0.24972	0.32788	0.00783	0.00001	2.30192	0.09596	0.00001	0.07583	0.00001	0.28811	0.19388	0.47285	0.18456	2.51189	0.03697	0.35737	0.05477	0.10215	0.03886	0.05538	0.05857	0.19971	0.00001	0.42108	0.008	5.06449	0.01135	0.13707	0.12192	0.22964	0.16204	1.24742	0.05917	0.06398	0.1933	0.07266
319	1	1_IRG	1.06842	0.51607	3.91039	0.14616	0.10343	0.18728	0.63189	0.06479	0.01641	4.64427	0.02329	0.01465	0.01906	0.00001	0.00001	0.00669	0.20763	0.05124	0.00632	0.00001	0.22789	0.00001	0.00001	0.04168	0.00001	0.06043	0.0308	0.08871	0.0255	0.32333	0.02862	0.13828	0.01454	0.02749	0.01264	0.02197	0.00869	0.07519	0.00001	0.14311	0.01144	0.51941	0.00925	0.19003	0.19152	0.27737	0.20708	0.97781	0.04419	0.07053	0.08838	0.03855
327	1	1_IRG	1.22965	0.50299	4.86714	0.21117	0.13271	0.22403	0.8752	0.09002	0.02999	9.65614	0.04873	0.03888	0.05381	0.00001	0.00748	0.0255	0.46438	0.13774	0.03793	0.01548	0.76013	0.03297	0.01323	0.20794	0.01455	0.26964	0.13857	0.35928	0.13227	1.54577	0.243	1.10166	1.83968	0.23574	0.09633	0.42209	0.11212	0.566	0.07256	1.1334	0.08078	5.09126	0.09873	1.56311	1.56207	2.90703	1.85609	10.18455	0.47399	0.86483	0.97564	0.3907
329	1	1_IRG	1.40637	0.39911	4.43492	0.19617	0.12867	0.19016	0.86969	0.08036	0.02505	9.72465	0.08625	0.07825	0.08122	0.01112	0.01694	0.04274	0.5122	0.15547	0.07298	0.04923	1.28341	0.03275	0.01464	0.68941	0.01517	0.27624	0.21311	0.55641	0.19712	1.68258	0.1608	0.9324	6.60815	0.33477	0.15461	0.34066	0.13258	0.81436	0.08202	1.38585	0.14701	5.49722	0.18918	2.50182	2.27328	4.3086	2.78661	14.94872	1.23483	1.15146	0.57835	0.77083
265	1	3_IRG	1.82574	0.46238	5.44642	0.22914	0.16999	0.20623	0.6457	0.13349	0.03262	13.52031	0.10914	0.06989	0.11491	0.01816	0.01603	0.05739	0.84829	0.18714	0.11563	0.03225	1.24858	0.04165	0.01671	2.10916	0.0218	0.31116	0.32063	0.83696	0.38853	1.73927	0.22181	0.60648	2.74667	0.63362	0.22919	0.36752	0.34652	1.6871	0.07943	1.16906	0.1426	11.74534	0.48539	3.72398	3.94622	5.27526	5.02374	15.91346	1.15413	1.70261	1.82793	0.85214
